frame,read_ms,orange_ms,white_ms,qr_ms,motion_ms,save_img_ms,rename_file_ms,proc_ms,total_ms
0,535.1283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0333,535.1616
1,160.4786,0.4535,0.0004,0.0031,1.9351,0.0107,0.0009,3.9819,164.4605
2,136.5126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0082,136.5208
3,144.0031,0.2964,0.0004,0.0014,6.4946,0.0042,0.0006,8.1721,152.1752
4,132.6094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0193,132.6287
5,130.4119,0.2610,0.0006,0.0028,1.2391,0.0055,0.0006,2.6141,133.0260
6,135.3762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0145,135.3907
7,130.2225,0.3859,0.0008,0.0020,1.9765,0.0079,0.0023,3.8814,134.1039
8,129.8313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,129.8513
9,126.1138,0.5963,0.0008,0.0037,1.4806,0.0036,0.0006,4.4890,130.6028
10,115.3389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0260,115.3649
11,135.9932,0.3321,0.0004,0.0031,1.1588,0.0133,0.0005,2.7182,138.7114
12,119.5767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,119.5868
13,128.2733,0.4047,0.0004,0.0021,1.2809,0.0054,0.0005,3.1557,131.4290
14,116.8493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0143,116.8636
15,135.1869,0.3307,0.0003,0.0026,1.3848,0.0045,0.0004,2.9269,138.1138
16,139.2279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0052,139.2331
17,125.7745,0.3174,0.0004,0.0029,4.4365,0.0206,0.0007,6.0155,131.7900
18,139.3768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0160,139.3928
19,126.8121,0.5280,0.0004,0.0066,2.4286,0.0129,0.0012,5.0912,131.9033
20,127.3818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0118,127.3936
21,76.8334,0.2642,0.0010,0.0019,1.2352,0.0033,0.0006,2.4704,79.3038
22,97.7789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0171,97.7960
23,128.0441,0.3856,0.0018,0.0038,1.3722,0.0047,0.0010,3.9411,131.9852
24,122.6699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0227,122.6926
25,122.5647,0.4581,0.0005,0.0068,2.1567,0.0046,0.0006,4.2696,126.8343
26,122.3613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0180,122.3793
27,149.6015,0.4443,0.0003,0.0057,3.2396,0.0072,0.0010,5.3844,154.9859
28,135.2529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0222,135.2751
29,180.1048,4.7436,0.0999,0.0188,33.7962,0.0297,0.0068,51.1501,231.2549
30,345.6545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0289,345.6834
31,125.7435,0.4849,0.0004,0.0033,1.9611,0.0049,0.0006,3.9649,129.7084
32,141.6334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0293,141.6627
33,145.9133,0.4458,0.0008,0.0034,1.7731,0.0064,0.0009,3.9299,149.8432
34,127.3396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0144,127.3540
35,114.0657,0.4322,0.0005,0.0049,1.4745,140.5713,0.0343,143.9910,258.0567
36,110.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0156,110.0204
37,125.3606,0.2863,0.0004,0.0038,0.0034,0.0054,0.0092,1.3735,126.7341
38,146.8691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0084,146.8775
39,172.6189,0.3179,0.0006,0.0039,0.0031,0.0055,0.0078,1.3732,173.9921
40,154.1076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0133,154.1209
41,154.7736,0.2109,0.0004,0.0014,0.0030,0.0033,0.0135,1.3089,156.0825
42,124.1113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0186,124.1299
43,127.6399,0.4192,0.0005,0.0046,0.0053,0.0096,0.0144,1.6073,129.2472
44,160.0529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0113,160.0642
45,136.9519,0.3515,0.0004,0.0060,0.0036,0.0056,0.0151,1.6972,138.6491
46,146.6726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0912,146.7638
47,151.1208,0.4628,0.0009,0.0027,0.0038,0.0073,0.0147,1.6916,152.8124
48,140.6481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3063,140.9544
49,143.1130,0.4693,0.0006,0.0056,0.0055,0.0146,0.0215,1.5836,144.6966
50,115.1389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0147,115.1536
51,120.2304,0.4622,0.0008,0.0030,0.0053,0.0059,0.0128,1.8099,122.0403
52,116.9504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0230,116.9734
53,117.8560,0.6207,0.0009,0.0074,0.0084,0.0143,0.0187,2.6784,120.5344
54,124.4837,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0220,124.5057
55,114.3566,0.2927,0.0004,0.0033,0.0047,0.0140,0.0116,1.5853,115.9419
56,118.7586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0234,118.7820
57,146.8566,0.3906,0.0005,0.0047,0.0049,0.0089,0.0115,1.7284,148.5850
58,103.9360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0171,103.9531
59,114.2370,0.3452,0.0007,0.0028,0.0069,0.0091,0.0103,1.7502,115.9872
60,112.4977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0142,112.5119
61,119.1088,0.3330,0.0004,0.0058,0.0055,0.0078,0.0124,1.7448,120.8536
62,96.8864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079,96.8943
63,96.1228,0.2609,0.0004,0.0026,0.0035,0.0048,0.0104,1.4614,97.5842
64,112.7636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0152,112.7788
65,109.4160,0.3197,0.0007,0.0034,0.0045,0.0066,0.0118,1.5055,110.9215
66,122.9542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0203,122.9745
67,114.8038,0.4546,0.0008,0.0056,0.0053,0.0080,0.0134,1.8992,116.7030
68,143.4854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0094,143.4948
69,130.4876,0.3954,0.0009,0.0030,0.0033,0.0087,0.0136,3.1532,133.6408
70,153.2133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0214,153.2347
71,117.3348,0.2490,0.0003,0.0015,0.0025,0.0054,0.0103,1.3120,118.6468
