frame,read_ms,orange_ms,white_ms,qr_ms,motion_ms,save_img_ms,rename_file_ms,proc_ms,total_ms
0,460.2888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0137,460.3025
1,98.5378,83.8473,0.0011,0.0022,1.9046,0.0107,0.0016,86.9741,185.5119
2,102.7573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0105,102.7678
3,105.4705,0.5296,0.0006,0.0019,11.6530,0.0039,0.0011,13.3713,118.8418
4,109.4286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0089,109.4375
5,96.8884,0.7203,0.0009,0.0028,1.8198,0.0043,0.0011,3.8551,100.7435
6,123.0065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0217,123.0282
7,122.1393,0.4177,0.0005,0.0019,1.5305,0.0043,0.0012,2.7851,124.9244
8,96.3769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0076,96.3845
9,96.3914,0.5149,0.0006,0.0027,1.5146,0.0041,0.0010,2.9973,99.3887
10,154.2801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0075,154.2876
11,128.9795,0.5718,0.0014,0.0022,1.7407,0.0037,0.0014,3.9751,132.9546
12,104.9767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,104.9826
13,97.5097,0.6281,0.0006,0.0022,1.5775,0.0039,0.0011,3.4121,100.9218
14,117.6463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,117.6528
15,110.4256,0.5043,0.0005,0.0017,1.3964,0.0038,0.0010,3.1176,113.5432
16,92.1576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0076,92.1652
17,117.1106,0.3704,0.0005,0.0023,1.3170,0.0038,0.0009,2.6606,119.7712
18,152.8034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0170,152.8204
19,122.0021,0.4028,0.0006,0.0018,1.4608,0.0040,0.0010,2.8398,124.8419
20,117.6934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0087,117.7021
21,144.9506,0.5697,0.0005,0.0019,1.9016,0.0030,0.0008,3.9924,148.9430
22,153.2667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,153.2778
23,132.9662,0.5672,0.0011,0.0022,1.5190,0.0040,0.0009,3.4048,136.3710
24,164.4350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0289,164.4639
25,82.9004,0.5192,0.0009,0.0017,1.7922,0.0037,0.0015,3.3982,86.2986
26,126.1652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0170,126.1822
27,110.2886,0.6809,0.0011,0.0020,1.8132,0.0035,0.0015,3.9210,114.2096
28,109.1416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0087,109.1503
29,100.6025,0.3339,0.0006,0.0016,1.2653,0.0034,0.0009,2.4978,103.1003
30,94.9305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0090,94.9395
31,89.5352,0.3343,0.0006,0.0015,1.2463,0.0029,0.0008,2.5873,92.1225
32,99.9392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0068,99.9460
33,93.1030,0.5073,0.0007,0.0022,1.5179,0.0037,0.0012,3.3582,96.4612
34,89.6691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,89.6754
35,97.5163,0.4647,0.0006,0.0020,1.3259,83.0643,0.0194,86.3661,183.8824
36,69.1071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0076,69.1147
37,64.4385,0.3523,0.0006,0.0020,0.0028,0.0036,0.0075,1.1747,65.6132
38,61.6286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,61.6346
39,64.0264,0.5589,0.0009,0.0030,0.0037,0.0083,0.0101,2.0016,66.0280
40,80.3169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083,80.3252
41,73.3650,0.3077,0.0005,0.0015,0.0018,0.0023,0.0071,0.9972,74.3622
42,101.4880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,101.4951
43,93.6449,0.4025,0.0005,0.0021,0.0031,0.0047,0.0085,1.4459,95.0908
44,108.7440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0091,108.7531
45,98.5451,0.3301,0.0006,0.0016,0.0021,0.0026,0.0068,1.0615,99.6066
46,91.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0077,92.0034
47,135.9927,0.3941,0.0007,0.0016,0.0028,0.0032,0.0058,1.2624,137.2551
48,116.0867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0076,116.0943
49,77.3841,0.3259,0.0005,0.0019,0.0031,0.0040,0.0075,1.1026,78.4867
50,67.4640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0085,67.4725
51,66.4774,0.4102,0.0006,0.0021,0.0038,0.0043,0.0084,1.3053,67.7827
52,63.7429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0057,63.7486
53,72.9355,0.3779,0.0005,0.0014,0.0022,0.0023,0.0056,1.0420,73.9775
54,65.2216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,65.2279
55,60.1003,0.4385,0.0006,0.0021,0.0029,0.0044,0.0092,1.3236,61.4239
56,73.1464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0089,73.1553
57,70.5910,0.3012,0.0006,0.0014,0.0019,0.0026,0.0062,0.9132,71.5042
58,81.1986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0102,81.2088
59,101.0879,0.3521,0.0005,0.0020,0.0028,0.0037,0.0080,1.0582,102.1461
60,64.6529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069,64.6598
61,67.9967,0.3284,0.0005,0.0023,0.0018,0.0030,0.0055,0.9524,68.9491
62,62.3156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,62.3227
63,64.8617,0.2963,0.0004,0.0020,0.0024,0.0026,0.0056,0.9196,65.7813
64,65.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0073,65.1740
65,199.2571,0.3233,0.0011,0.0014,0.0022,0.0028,0.0069,0.9639,200.2210
66,72.2114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0064,72.2178
67,80.5321,0.3424,0.0006,0.0024,0.0033,0.0028,0.0065,1.0254,81.5575
68,98.6696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,98.6763
69,92.9681,0.3687,0.0004,0.0015,0.0024,0.0026,0.0074,1.0906,94.0587
70,72.9494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,72.9557
71,93.2088,0.3435,0.0005,0.0014,0.0028,0.0032,0.0061,1.0564,94.2652
72,88.5536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069,88.5605
