frame,read_ms,orange_ms,white_ms,qr_ms,motion_ms,save_img_ms,rename_file_ms,proc_ms,total_ms
0,420.4892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0162,420.5054
1,142.3059,0.5845,0.0006,0.0042,2.9140,0.0526,0.0011,5.0341,147.3400
2,144.5369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0128,144.5497
3,139.8967,0.3160,0.0005,0.0021,11.6863,0.0053,0.0008,13.0298,152.9265
4,155.3226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,155.3326
5,158.4671,0.2864,0.0006,0.0023,4.7682,0.0072,0.0008,6.0359,164.5030
6,215.7380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0149,215.7529
7,176.3934,0.3470,0.0016,0.0034,2.0560,0.0052,0.0009,3.4649,179.8583
8,178.8304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083,178.8387
9,134.7416,0.3139,0.0006,0.0031,1.5278,0.0053,0.0009,2.7973,137.5389
10,133.0611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0070,133.0681
11,155.9996,0.3113,0.0006,0.0028,1.7733,0.0057,0.0009,3.0324,159.0320
12,165.7295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0186,165.7481
13,151.3851,0.3462,0.0013,0.0026,2.1760,0.0070,0.0010,3.4737,154.8588
14,116.1233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,116.1313
15,190.1174,0.5123,0.0006,0.0038,3.5963,0.0052,0.0009,5.1075,195.2249
16,142.0905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0094,142.0999
17,129.6482,0.4043,0.0010,0.0027,1.7178,0.0055,0.0008,3.1949,132.8431
18,149.4158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0088,149.4246
19,131.2439,1.2244,2.4528,0.0029,4.6521,0.0105,0.0010,9.6843,140.9282
20,124.0638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079,124.0717
21,159.0779,1.1458,2.0655,8.8046,1.8911,0.0065,0.0009,15.3795,174.4574
22,112.9644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0064,112.9708
23,120.3825,0.5119,0.0005,0.0026,1.5555,0.0055,0.0007,3.2770,123.6595
24,149.1446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0191,149.1637
25,120.4988,0.3815,0.0008,0.0021,1.3670,0.0045,0.0007,2.7470,123.2458
26,122.0236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0098,122.0334
27,111.6023,0.2969,0.0004,0.0028,1.3301,0.0043,0.0007,2.5910,114.1933
28,104.0365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0057,104.0422
29,123.6648,0.8607,2.3113,5.0072,1.3645,72.7004,0.0048,83.4628,207.1276
30,77.6464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,77.6535
31,108.1620,0.7014,0.0006,0.0029,2.1276,0.0044,0.0008,3.9928,112.1548
32,100.2132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0073,100.2205
33,108.0769,0.7365,1.8870,8.9733,1.8180,0.0068,0.0011,14.6069,122.6838
34,94.2166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0066,94.2232
35,128.1761,0.8632,1.4843,7.8781,1.3237,0.0072,0.0014,12.7524,140.9285
36,106.1921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0104,106.2025
37,113.4544,1.0871,2.0243,7.9447,1.5290,0.0071,0.0008,14.0107,127.4651
38,93.5039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,93.5100
39,127.6540,0.6481,1.5486,12.2615,1.8291,0.0074,0.0009,17.3059,144.9599
40,99.5972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0156,99.6128
41,108.2076,0.7411,1.3353,7.2567,1.3549,0.0073,0.0008,11.5325,119.7401
42,93.0156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0051,93.0207
43,113.8703,0.6787,1.5659,10.7191,1.3967,0.0070,0.0008,15.3801,129.2504
44,90.7806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,90.7873
45,82.0419,0.8681,2.7761,12.3919,1.1936,0.0069,0.0007,18.5567,100.5986
46,89.9122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0070,89.9192
47,124.6622,0.7122,1.4982,9.3559,1.3290,0.0068,0.0008,13.7663,138.4285
48,94.6642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0121,94.6763
49,90.9563,0.6111,1.7101,5.9230,1.1477,0.0059,0.0007,10.3947,101.3510
50,79.0129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,79.0189
51,84.5986,1.1337,1.8386,11.4996,1.7090,0.0065,0.0013,17.3415,101.9401
52,101.3844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0149,101.3993
53,80.0825,0.6347,1.4890,10.7423,1.0697,65.3299,0.0357,80.3122,160.3947
54,82.7913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,82.7974
55,73.4944,0.6806,1.3498,10.8848,0.0049,0.0063,0.0147,13.8703,87.3647
56,77.6517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0077,77.6594
57,86.2651,0.6332,1.5378,9.6158,0.0030,0.0048,0.0264,12.7470,99.0121
58,84.5264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0064,84.5328
59,91.3910,0.6171,1.3141,7.0455,0.0037,0.0049,0.0110,9.8787,101.2697
60,73.2488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069,73.2557
61,82.0433,0.6586,1.4189,9.7562,0.0048,0.0044,0.0110,12.9186,94.9619
62,74.9937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,75.0000
63,75.9072,0.7207,2.3821,11.6686,0.0049,0.0076,0.0276,15.8095,91.7167
64,81.7921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,81.7992
65,76.8196,0.7758,1.4352,7.6476,0.0026,0.0035,0.0107,10.7207,87.5403
66,74.0320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0082,74.0402
67,77.4887,0.5857,1.4073,9.2426,0.0025,0.0045,2.1223,14.2406,91.7293
68,72.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0103,72.1503
69,74.9210,0.6075,1.7058,0.0019,0.0028,0.0063,0.0094,3.0482,77.9692
70,89.2687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0073,89.2760
71,97.3049,0.7244,1.8079,0.0014,0.0035,0.0073,0.0094,3.5612,100.8661
72,90.8633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,90.8713
73,96.7277,0.7540,1.6879,0.0015,0.0046,0.0067,0.0086,3.2856,100.0133
74,80.1437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,80.1500
75,92.7881,0.6882,1.8604,0.0013,0.0036,0.0079,0.0096,3.3452,96.1333
76,95.6121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,95.6192
77,77.9974,0.5269,1.9144,0.0013,0.0020,0.0044,0.0062,3.0615,81.0589
78,87.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0068,87.0901
79,73.7111,0.4707,1.4874,0.0014,0.0030,0.0069,0.0079,2.6202,76.3313
80,74.6884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0088,74.6972
81,77.3963,0.4892,1.4958,0.0012,0.0020,0.0041,0.0068,2.6168,80.0131
82,84.3928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,84.3989
83,82.1545,0.4550,1.5069,0.0010,0.0029,0.0066,0.0086,2.6195,84.7740
84,89.8738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,89.8818
85,73.3288,0.5284,1.5415,0.0012,0.0030,0.0057,0.0084,2.6534,75.9822
86,102.1940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0092,102.2032
87,100.7166,0.6950,1.5256,0.0013,0.0034,0.0078,0.0099,3.0254,103.7420
88,85.2407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,85.2469
89,64.4161,0.4715,1.2737,0.0010,0.0024,0.0039,0.0075,2.3505,66.7666
90,87.0248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0085,87.0333
91,91.2690,0.6600,1.6016,0.0011,0.0019,0.0039,0.0080,2.9738,94.2428
92,72.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0188,72.6488
93,69.6816,0.4308,1.3432,0.0016,0.0021,0.0040,0.0068,2.3239,72.0055
94,95.9231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,95.9302
95,117.1844,0.7048,1.9156,0.0013,0.0032,0.0072,0.0099,3.4848,120.6692
96,89.4932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,89.4999
97,86.0575,0.6585,1.8822,0.0011,0.0028,0.0081,0.0094,3.3435,89.4010
98,108.3968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0073,108.4041
99,153.1947,0.6705,1.9743,0.0020,0.0041,0.0062,0.0091,3.6412,156.8359
100,109.5995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0105,109.6100
101,165.3064,6.4758,8.9873,0.0017,0.0063,0.0125,0.0197,16.3242,181.6306
102,90.3403,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0076,90.3479
103,74.6088,0.4694,1.3074,0.0009,0.0017,0.0043,0.0055,2.4751,77.0839
104,67.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0077,67.3577
105,67.7074,0.4381,1.3663,0.0016,0.0035,0.0085,0.0094,2.5118,70.2192
106,69.6090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0091,69.6181
107,69.1244,0.5401,1.7686,0.0017,0.0039,0.0080,0.0098,3.3207,72.4451
108,61.0770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0081,61.0851
109,67.5289,0.5258,1.3226,0.0028,0.0018,0.0051,0.0058,2.5027,70.0316
110,62.7190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0106,62.7296
111,87.9524,0.7016,1.3733,0.0019,0.0024,0.0060,0.0067,3.0684,91.0208
112,70.4120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0057,70.4177
113,70.5588,0.4299,1.2069,0.0028,0.0035,0.0048,0.0066,2.3434,72.9022
114,62.7588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0066,62.7654
115,68.3235,0.4725,1.4704,0.0017,0.0023,0.0041,0.0056,2.8681,71.1916
116,71.5416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0073,71.5489
117,78.8138,0.4789,2.1867,0.0026,0.0032,0.0078,0.0083,3.5927,82.4065
118,111.4590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0091,111.4681
119,89.1274,0.3910,1.1257,0.0019,0.0022,0.0042,0.0048,2.1011,91.2285
120,79.9002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,79.9082
121,82.9467,0.1964,0.0004,0.0015,0.0025,0.0045,0.0066,0.8757,83.8224
122,77.6408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0095,77.6503
123,90.6001,0.1829,0.0003,0.0018,0.0029,0.0060,0.0080,0.8574,91.4575
124,123.8110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0108,123.8218
125,109.2313,0.1402,0.0004,0.0021,0.0022,0.0059,0.0063,0.7996,110.0309
126,119.7550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,119.7611
127,90.0039,0.2096,0.0003,0.0043,0.0039,0.0078,0.0097,1.4831,91.4870
128,79.8313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0084,79.8397
129,148.7192,0.2807,0.0005,0.0036,0.0050,0.0082,0.0100,2.1507,150.8699
130,127.2847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0127,127.2974
131,103.9760,0.2022,0.0084,0.0030,0.0042,0.0068,0.0081,1.1139,105.0899
132,146.1546,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0066,146.1612
133,133.8843,0.1752,0.0005,0.0019,0.0028,0.0058,0.0098,0.9937,134.8780
134,117.5264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0056,117.5320
135,66.3832,0.1922,0.0003,0.0017,0.0029,0.0066,0.0079,1.1284,67.5116
136,102.4466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,102.4616
137,96.7702,0.1708,0.0004,0.0031,0.0038,0.0079,0.0088,1.4495,98.2197
138,97.5046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0110,97.5156
139,102.1737,0.1958,0.0004,0.0022,0.0026,0.0068,0.0647,1.1169,103.2906
140,90.7894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0161,90.8055
141,98.7445,0.1434,0.0003,0.0035,0.0033,0.0064,0.0072,0.9898,99.7343
142,83.3478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0121,83.3599
143,81.2797,0.1695,0.0004,0.0025,0.0031,0.0051,0.0073,0.9173,82.1970
144,95.5107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0121,95.5228
145,94.1492,0.2241,0.0004,0.0034,0.0032,0.0074,0.0076,1.6407,95.7899
146,195.4586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0122,195.4708
147,97.4780,0.1807,0.0003,0.0031,0.0034,0.0074,0.0104,1.0429,98.5209
148,134.4525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0135,134.4660
149,173.7646,0.2911,0.0004,0.0020,0.0025,0.0071,0.0077,1.5866,175.3512
150,138.4877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0098,138.4975
151,154.0531,0.3692,0.0010,0.0064,0.0064,0.0152,0.0176,2.2762,156.3293
152,128.8782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0173,128.8955
153,129.4992,0.2018,0.0010,0.0035,0.0029,0.0060,0.0115,1.1354,130.6346
154,131.2760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0117,131.2877
155,142.3301,0.5519,0.0005,0.0036,0.0065,0.0092,0.0147,2.4963,144.8264
156,132.6290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0140,132.6430
157,143.0496,0.1695,0.0005,0.0022,0.0049,0.0077,0.0088,1.2643,144.3139
158,125.9646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0271,125.9917
159,119.5206,0.1776,0.0005,0.0023,0.0025,0.0055,0.0070,1.3024,120.8230
160,105.5479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0085,105.5564
161,120.7887,0.2034,0.0004,0.0026,0.0049,0.0150,0.0076,1.2857,122.0744
162,121.8736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0163,121.8899
163,118.6787,0.1693,0.0004,0.0027,0.0020,0.0068,0.0070,0.9399,119.6186
164,126.0320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0145,126.0465
165,128.0144,0.2622,0.0005,0.0029,0.0036,0.0087,0.0144,1.6629,129.6773
166,123.3893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,123.3954
167,138.0218,0.1486,0.0005,0.0025,0.0037,0.0060,0.0070,0.9267,138.9485
168,129.2968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0102,129.3070
169,132.6137,0.2938,0.0004,0.0060,0.0058,101.1841,0.0188,103.1211,235.7348
170,114.8781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0146,114.8927
171,122.4603,0.2104,0.0003,0.0016,0.0053,0.0085,0.0104,1.6926,124.1529
172,122.0352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0110,122.0462
173,121.5101,0.1795,0.0003,0.0020,0.0021,0.0041,0.0077,1.0714,122.5815
